text,amount,category,payment_method,payment_provider,bank_account,text_source
"Dinner bill split with Neha, my share 806 on CRED",806,friends,upi,cred,,english
   Flipkart online order 16915.15 paid by debit card  ,16915.15,shopping,card,,,ocr_receipt
"Ufff, Amazon ne kat liya 9476.78, debit card se payment",9476.78,shopping,card,,,hinglish
20936 invested in crypto today.,20936,investment,unknown,,,english
19143 credit card EMI ke liye HDFC se pay kiya,19143,emi,card,,hdfc,hinglish
Coursera online course 59068 via Google Pay,59068,education,upi,gpay,,ocr_receipt
Chai-samosa ke liye Biryani Blues mein 430.94 spend kiye CRED pe,430.94,food,upi,None,,hinglish
149 RedBus driver ko cash diya,149,travel,cash,,,hinglish
Sent 13722 for IndiGo via Amazon Pay from RBL Bank.,13722,travel,upi,amazonpay,rbl,english
course pe 18664 ka payment cred kiya,18664,education,upi,cred,,hinglish
PPF ke liye 27432.28 ka kharcha MobiKwik se kiya,27432.28,investment,upi,mobikwik,,hinglish
fees coaching ka advance 41321 dedo,41321,education,unknown,,,hinglish
Tuition ke 2202 de diye yaar,2202,education,unknown,,,hinglish
DTH recharge ( 4510.51 ) paid through PhonePe,4510.51,utilities,upi,phonepe,,ocr_upi
Upi money send 194 to Swiggy for food by Fi Money,194,food,unknown,,fi,ocr_upi
EMI 27128 to Kotak using card,27128,emi,card,,kotak,ocr_receipt
Sneha ke liye 9322 ka bill gpay se clear kiya.,9322,friends,upi,null,,ocr_upi
broadband bill settled via card 1176,1176,utilities,card,,,ocr_receipt
crypto SIP of 24422.80 paid using CRED,24422.80,investment,upi,cred,,ocr_upi
Reliance Digital shopping ke liye 21665 ka payment debit card se,21665,shopping,Card,,,hinglish
stationery course 51220 by bhim,51220,,upi,None,,english
card use karke home loan EMI ka 29566 dedo,29566,emi,card,,,hinglish
29399.73 for personal loan EMI through credit card,29399.73,emi,card,,,english
Swiggy ka bill 2372 paytm se clear kiya,2372,food,upi,paytm,,voice
  bhai se 1003 liya for lab test phir cash diya  ,1003,healthcare,cash,,,voice
Angel One ke liye 11691 ka payment bhim se kiya.,11691,investment,upi,bhim,,english
Spotify pe movie dekhne ka 669 spend kiya,669,entertainment,unknown,,,hinglish
doctor ko checkup ke 23752 cash diye,23752,healthcare,cash,,,hinglish
"  wifi bill ka recharge kiya hai 338 ka, cash pe  ",338,utilities,cash,,,hinglish
Payment of 3938 for Karan from HDFC Bank account via BHIM.,3938,friends,upi,bhim,hdfc,ocr_upi
electronics store 28402 done through BHIM,28402,shopping,upi,bhim,,english
  stocks pe 7793 lagaya yaar  ,7793,investment,unknown,,,hinglish
checkup ko 4134.80 ka installment gpay se,4134.80,healthcare,upi,gpay,,ocr_upi
aaj course ke liye 27538.82 spend kiya PayTM se,27538.82,education,upi,--,,voice
education loan EMI ka installment 7156.27 card pe de diya,7156.27,emi,CARD,,,hinglish
"friend ko 1278 udhaar liya yaar, kal return karunga",1278,friends,unknown,,,hinglish
Rahul ki shaadi ka gift 5901 CRED se bheja,5901,friends,upi,cred,,hinglish
Groww pe 23334.50 ka order confirm PayTM se,23334.50,investment,upi,paytm,,hinglish
22446 for lab/medicine at physio via card,22446,healthcare,card,,,ocr_upi
gas bill ka bill 730 diya,730,utilities,unknown,,,voice
EMI for credit card EMI - 29920.11 using mobikwik,29920.11,emi,upi,--,,english
MakeMyTrip ki app se 625.04 ka ticket liya cash se,625.04,null,cash,,,hinglish
Paid mobile recharge for 59.35 using AmazonPay from Niyo,59.35,utilities,upi,amazonpay,niyo,english
Paid back 632 to Karan for the movie tickets using cash,632,friends,cash,,,english
"Drove together, Priya ne petrol ka 3967.45 diya",3967.45,friends,unknown,,,hinglish
diagnostic center ka payment 3358 card se diya,3358,healthcare,card,,,hinglish
aaj physio mein 16268 ka payment kiya Visa se,"16,268.00",healthcare,card,,,voice
maintenance bill 3134 paid with cash,3134,utilities,cash,,,ocr_receipt
i bought from Myntra for 15259 with Visa,15259,shopping,card,,,voice
Angel One pe 31973 ka contribution gpay se,31973,investment,upi,gpay,,ocr_receipt
14673.27 for this month's installment on AmazonPay,14673.27,emi,upi,amazonpay,,ocr_receipt
"cafe pe food delivery, 1579 ka payment done via card",1579,food,card,,,hinglish
Payment of 7441 for Priya from Union Bank account via bhim.,7441,friends,UPI,bhim,union bank,ocr_upi
physio ka bill 10705 PhonePe kiya,10705,healthcare,upi,phonepe,,hinglish
aaj books ko 621 bheja PayTM ke through,621,education,upi,paytm,,voice
  NPS ke liye 42185.35 ka SIP card se diya   ,42185.35,investment,card,,,hinglish
Tuition fees 7639.54 card,7639.54,education,card,,,ocr_receipt
Udemy course fee 9627 paid with AmazonPay.,9627,education,upi,amazonpay,,ocr_upi
18247 for home loan EMI through PhonePe,18247,emi,upi,phonepe,,english
NPS mein 19231 ka order Amazon Pay se,19231,investment,upi,amazonpay,,voice
   JioCinema ke liye 1160.33 ka recharge from HDFC Bank with cash  ,1160.33,entertainment,cash,,hdfc,voice
mall order 1369 paid by Phone Pe,1369,shopping,upi,phonepe,,ocr_receipt
card payment of 1576 to restaurant successful,1576,food,card,,,ocr_upi
"Dinner bill split with sister, my share 2801 on mobikwik",2801,friends,upi,mobikwik,,english
SonyLIV recharge 1276 using Mastercard,1276,entertainment,card,,,ocr_receipt
Spotify concert ticket 247.75 paid by Visa,247.75,entertainment,card,,,voice
Mastercard se bike loan EMI ka 15515.02 bheja,15515.02,emi,CARD,,,english
"Bhai, credit card EMI ka 6816 de diya cash se",6816,emi,card,,,hinglish
  school fees coaching class 48319 from Niyo account  ,48319,education,unknown,,niyo,english
IRCTC recharge 784 from Jupiter account via cash,784,travel,cash,,jupiter,voice
"brother sent 7801 for the cab, received on Mobikwik",,friends,upi,mobikwik,,english
phonepe se Blinkit ko 781 transfer kiya lunch ke liye,781,food,upi,phonepe,,voice
1003 Zomato Gold subscription auto-debit ho gaya via cred,1003,entertainment,upi,cred,,hinglish
car loan EMI payment of 32049 by bhim,32049,emi,upi,bhim,,ocr_receipt
aaj rent ka bill gaya 1312.09 cred se,1312.09,utilities,upi,cred,,voice
Monthly personal loan EMI 17623 paid by debit card,17623,emi,card,,,english
Zomato Gold ke liye 631.87 ka recharge from RBL Bank with gpay,631.87,entertainment,upi,gpay,rbl,voice
Monthly water bill 3695 paid by Mobikwik,3695,utilities,upi,mobikwik,,english
Coursera course ki fees 15053 transfer ki IDFC se,15053,education,unknown,,idfc,hinglish
Travel expense 5640 for Cleartrip using BHIM.,5640,travel,upi,bhim,,english
"2951 mobile recharge ke liye de diye yaar, Paytm se",2951,utilities,upi,paytm,,hinglish
"upGrad ko 47251 bheje, cash diya",47251,education,cash,,,hinglish
Auto-payment for bike loan EMI 13652.21 by credit card,13652.21,emi,card,,,ocr_receipt
woh 172.45 jo Rahul ne manga tha paid by cash,172.45,friends,cash,,,voice
debit card se credit card EMI ke 13504 pay kiye,13504,emi,card,,,hinglish
Recharged JioCinema for 829 on Visa,829,entertainment,card,,,english
24845.20 physio pe kharch hua CRED se,24845.20,healthcare,upi,cred,,hinglish
NPS ka payment 34932.13 de diya cash se,34932.13,investment,cash,,,hinglish
books pe 5090 ka payment Amazon Pay kiya,5090,education,upi,,,hinglish
"Rahul sent 6769 for the cab, received on CRED",6769,friends,upi,cred,,english
flatmate ko de diya 9228.73 rent ka hissa cred se,nan,friends,upi,nan,,voice
PPF ke liye 6000 ka SIP mobikwik se diya,6000,investment,upi,mobikwik,,hinglish
Hospital admission charges 229.49 by cred.,229.49,healthcare,upi,cred,,english
fees fees 40918.31 diya Mobikwik se,40918.31,education,Upi,mobikwik,,voice
Apollo Pharmacy payment 7790 by MobiKwik,7790,healthcare,upi,mobikwik,,ocr_upi
Booked Indian Oil ticket for 13454 via debit card.,13454,travel,card,,,english
"24653 to PharmEasy for medicine, paid with bhim.",24653,healthcare,upi,bhim,,english
"24143 to physio for medicine, paid with Mobikwik.",24143,healthcare,upi,mobikwik,,english
Flipkart 21879 done through GPay,21879,shopping,upi,nan,,english
stationery course ke liye 17271 card kiya,17271,education,card,,,voice
"mobile recharge ka recharge kiya hai 843 ka, bhim pe",843,utilities,upi,bhim,,hinglish
"Split the hotel cost with Rahul, my part 2900.25 gpay",2900.25,friends,upi,gpay,,english
"restaurant pe khana 361, UPI BHIM",361,food,upi,bhim,,english
   DTH recharge ka bill 4101 BHIM se diya   ,4101,utilities,upi,,,hinglish
1201 debited for BookMyShow by Paytm,1201,entertainment,upi,paytm,,ocr_upi
"For Neha's treat, paid 1088 by Amazon Pay from",1088,friends,upi,amazonpay,,english
Swiggy pe 2288 ka online order gpay se kiya,2288,food,upi,gpay,,voice
Meesho purchase for 10972.54 using bhim,10972.54,shopping,upi,bhim,,ocr_upi
diagnostic center ka bill 5950 cash kiya,5950,healthcare,cash,,,hinglish
39654 for this month's car loan EMI on debit card,39654,emi,card,,,ocr_receipt
lab test pe 2065.37 udhar diye Visa se,2065.37,healthcare,card,,,hinglish
Sneha ko 3920 ka UPI payment cash se kiya.,3920,food,cash,,,ocr_upi
Recurring payment to gold for 1049 via GPay,1049,investment,upi,gpay,,ocr_upi
Added 32559 to mutual fund SIP via AmazonPay,32559,investment,upi,amazonpay,,ocr_upi
EMI auto-debit of 9296.26 from on debit card,9296.26,emi,card,,,ocr_upi
maintenance bill pay 2791 PhonePe,2791,utilities,upi,phonepe,,ocr_receipt
6908 paid via amazon pay for sister.,6908,friends,upi,amazonpay,,ocr_upi
Starbucks 709 ka bill clear via Amazon Pay,709,food,upi,amazonpay,,english
"Neha ko 2735 udhaar liya yaar, kal return karunga",2735,friends,unknown,,,hinglish
"37837.91 udhar diya stationery ke liye, baad me le lena",37837.91,education,unknown,,,hinglish
Haldirams kharcha 97 ka debit card se,97,entertainment,card,,,ocr_receipt
main Netflix ke liye 1439.26 pay kiya using credit card,1439.26,entertainment,card,,,voice
25080 ka bike loan EMI bhej diya Mastercard se,25080,emi,card,,,hinglish
exam fee subscription renew kiya 3874.54 ka,3874.54,education,unknown,,,hinglish
physio ke paise 14249.68 credit card se deduct hue,14249.68,healthcare,card,,,hinglish
   Made gas bill payment of 1844 via phonepe  ,1844,utilities,upi,phonepe,,english
Paid upGrad fees 41348 via cash,41348,education,cash,,,english
FD SIP auto-debit 34294 ho gaya,34294,investment,card,,,hinglish
PVR ke live concert ke liye 1720.83 pay kiye MobiKwik se,1720.83,entertainment,upi,mobikwik,,hinglish
"338 debit hua INOX ke liye, payment method cash",338,entertainment,card,,,hinglish
"For Karan's treat, paid 1616 by Phone Pe from BOB",1616,friends,upi,phonepe,bob,english
wifi bill ke liye 4813 ka payment kia cash se,4813,utilities,cash,,,voice
Blinkit mein cash diya 1497 chai ke liye,1497,food,cash,,,voice
Sneha ko 3604 bheje Slice ke through,3604,friends,unknown,,slice,hinglish
Goibibo 1166 paid by cash from State Bank,1166,travel,cash,,sbi,ocr_receipt
"Ajio se 10323 ka maal aaya, Amazon Pay se pay kiya",10323,shopping,upi,NA,,hinglish
gold investment of 16128.60 by amazon pay,16128.60,investment,upi,None,,ocr_receipt
Zomato 1444 ka bill clear via credit card,1444,food,card,,,english
6485.67 for car loan EMI through debit card,6485.67,emi,card,,,english
Just paid 647 at Nykaa,647,shopping,unknown,,,english
nan,20395,emi,unknown,,bob,hinglish
flatmate ki shaadi ka gift 6523 MobiKwik se bheja,6523,friends,upi,mobikwik,,hinglish
Returned 1615 to sister via PayTM,1615,friends,upi,paytm,,ocr_receipt
Education fee 50500 paid to Allen coaching using cash from .,50500,education,cash,,,ocr_upi
recurring deposit SIP 45517 via mobikwik,45517,investment,upi,mobikwik,,ocr_receipt
bhai ko tuition ke liye 51380 diya cash se,51380,education,cash,,,voice
36687 gold mein daale via cred,36687,investment,upi,nan,,hinglish
card through IndusInd for H&M 491,491,shopping,card,,indusind,ocr_upi
Movie at SonyLIV 2333.55 with cash,2333.55,entertainment,cash,,,english
doctor ka 15349 ka bill IndusInd ke card se pay,15349,healthcare,card,,indusind,hinglish
"Bhai, FirstCry se 20722 ka saman liya cash diya",20722,shopping,cash,,,hinglish
doctor ko checkup ke 12165 cash diye,12165,healthcare,cash,,,hinglish
aaj JioMart pe order kiya 388 cred se,388,food,upi,cred,,voice
Medical supplies from diagnostic center 8262.02 via PhonePe.,8262.02,healthcare,upi,phonepe,,english
gpay se Hotstar ki annual plan leli worth 184,184,entertainment,upi,gpay,,hinglish
Sent 12961 for MakeMyTrip via card from Bandhan Bank.,12961,travel,card,,bandhan,english
Paid 2666 to Steam via gpay,2666,entertainment,upi,gpay,,ocr_upi
Investment in Groww for 31844.56 from Union Bank,31844.56,investment,unknown,,union bank,ocr_upi
Monthly Groww auto-debit of 48096 via PayTM.,None,investment,upi,paytm,,english
9788 ka credit card EMI bhej diya Amazon Pay se,9788,emi,upi,amazonpay,,hinglish
auto me 11647 ka payment ho gaya Google Pay se,None,travel,upi,gpay,,voice
Airtel recharge ka bill 3588.84 mobikwik se diya,3588.84,utilities,upi,mobikwik,,hinglish
Deducted 150.23 for petrol pump booking.,150.23,travel,unknown,,,english
2644 for gas bill using mobikwik card,2644,utilities,upi,mobikwik,,english
Paytm se exam fee ko 20183,20183,education,Upi,paytm,,english
UPI payment to Neha for 2235 using phonepe.,2235,friends,upi,phonepe,,ocr_upi
"Apollo Pharmacy ke liye 21282 ka kharcha, cred",21282,healthcare,upi,cred,,ocr_upi
cash ke through electronics store ko 8461 diya,8461,shopping,cash,,,hinglish
14458.10 gone for electronics store shopping,14458.10,shopping,unknown,,,english
Dentist visit 20112 done through Mastercard.,20112,healthcare,card,,,english
brother bhai ko 7634.90 bej diya cred pe,7634.90,friends,UPI,cred,,hinglish
Goibibo recharge of 10382.38 using amazon pay.,10382.38,travel,upi,amazonpay,,english
bhai Neha ko cash diya 1028 wapas,1028,friends,cash,,,voice
Karan recharge of 6446 via Phone Pe.,6446,friends,upi,phonepe,,ocr_upi
9966.90 spent on Indian Oil travel with mobikwik,9966.90,travel,upi,mobikwik,,ocr_upi
3352.07 ka EMI bhej diya Amazon Pay se,3352.07,emi,upi,amazonpay,,hinglish
2232 concert subscription auto-debit ho gaya via debit card,2232,education,card,,,hinglish
Swiggy mein cash diya 601.21 chai ke liye,601.21,food,Cash,,,voice
"Coffee on me, flatmate ko 5524.50 pay kiya",5524.50,friends,unknown,,,hinglish
netmeds ka order 7663 upi se clear kardia,7663,healthcare,unknown,,,voice
Paid 2721 for Jio recharge through Amazon Pay,2721,utilities,upi,amazonpay,,english
Reliance Digital online order 400 paid by Google Pay,400,shopping,upi,gpay,,ocr_receipt
bhai ke saath canteen mein khana khaya 2480.94 ka bill cash se,2480.94,food,Cash,,,voice
Karan ke saath dinner ka hissa 973 cred kiya,973,friends,upi,cred,,hinglish
course course fee 58731.76 transferred via cash,58731.76,education,cash,,,voice
stationery ke liye 35495 pay kiye Jupiter card se,35495,education,card,,jupiter,hinglish
sovereign gold bond pe 28060 lagaya yaar,28060,investment,unknown,,,hinglish
"652 debit hua Hotstar ke liye, payment method cash",652,entertainment,card,,,hinglish
Bill payment for DTH recharge of 1879 via Amazon Pay,1879,utilities,Upi,amazonpay,,ocr_upi
"roommate ke liye book mangaayi, 1758.62 advance diya",1758.62,friends,UNKNOWN,,,hinglish
Petrol 12258 at petrol pump.,12258,travel,unknown,,,english
1627.83 udhar diya McDonald's mein khane ka bill cash se,1627.83,food,cash,,,voice
recurring deposit ki installment 13143.52 paid with cash,13143.52,investment,cash,,,voice
water bill recharge of 168 done via card,168,utilities,card,,,voice
  bhai INOX ka bill 549 de diya Paytm pe  ,549,entertainment,upi,paytm,,voice
1368.12 for Hotstar via cash from Indusind Bank,1368.12,entertainment,cash,,indusind,english
   38593 personal loan EMI ke liye ICICI Bank se pay kiya  ,38593,emi,unknown,,icici,hinglish
"tuition se material mangaya, 9657 diye AmazonPay se",9657,education,upi,amazonpay,,hinglish
Invested 33716.18 in Angel One using phonepe.,33716.18,investment,upi,phonepe,,english
Movie at concert 1493 with cash,1493,entertainment,cash,,,english
25386 paid towards car loan EMI through card,25386,emi,Card,,,ocr_upi
Apple Music bill paid 2479 cash,--,entertainment,cash,,,ocr_upi
Food expense at McDonald's 2048 by GPay,2048,travel,upi,gpay,,english
Charged 22164 to Ajio from Niyo account using Visa,22164,shopping,CARD,,niyo,english
Paid 1075 to Airtel recharge from Axis Bank using debit card,1075,utilities,card,,axis,ocr_receipt
PVR ka monthly charge 864.34 dedo Slice card se,864.34,entertainment,card,,slice,hinglish
eye clinic ka payment 6737 cash se diya,nan,healthcare,cash,,,hinglish
Movie at BookMyShow 1588 with cash,1588,entertainment,cash,,,english
"roommate se liya 1954 for cab share, cred se",null,friends,upi,cred,,hinglish
JioCinema ke live concert ke liye 2258 pay kiye cash se,2258,entertainment,cash,,,hinglish
maintenance recharge of 3762 done via cash,3762,utilities,cash,,,voice
exam fee course ki fees 26885 transfer ki IDFC se,26885,education,unknown,,idfc,hinglish
Neha to Mobikwik 5763.69 for dinner split,5763.69,friends,upi,mobikwik,,voice
Neha ka 3516.99 udhaar wapas paytm se,3516.99,friends,upi,paytm,,ocr_receipt
Paid 1546 at HP petrol via cred,1546,travel,upi,cred,,ocr_receipt
card ke through FirstCry ko 5010.25 diya,5010.25,shopping,card,,,hinglish
668.20 paid via Amazon Pay for Jio recharge services,668.20,utilities,UPI,,,ocr_upi
9366 MedPlus pe kharch hua gpay se,9366,healthcare,upi,gpay,,hinglish
Groww investment of 44143 done via Mobikwik,44143,investment,upi,mobikwik,,voice
books material 20023 through MobiKwik,20023,education,upi,mobikwik,,english
Order from Dominos of 1012.42 using cash,1012.42,food,cash,,,ocr_upi
"Rahul ko 3106 udhaar liya yaar, kal return karunga",3106,friends,unknown,,,hinglish
books coaching ka advance 13306.45 dedo,13306.45,education,unknown,,,hinglish
diagnostic center ka bill 17941 cash diya,17941,healthcare,cash,,,voice
Mastercard se credit card EMI ke 37391 pay kiye,37391,emi,card,,,hinglish
gas bill ke liye 3044.84 ka payment kiya Amazon Pay se,3044.84,utilities,upi,amazonpay,,hinglish
"   Box8 ka online order, 203 debit hua cred se   ",203,food,upi,cred,,hinglish
--,8909,education,upi,phonepe,fi,ocr_upi
"  Priya ne 8018 maanga tha, wapas kiya phonepe pe  ",8018,friends,upi,phonepe,,hinglish
eye clinic par 2068.07 ka bill GPay se,2068.07,healthcare,upi,gpay,,ocr_upi
Neha ko 9032 udhaar diya paytm se,9032,friends,upi,,,hinglish
"friend ko 8201 udhaar liya yaar, kal return karunga",8201,friends,unknown,,,hinglish
10557.59 Ola driver ko cash diya,10557.59,investment,cash,,,hinglish
   i bought from mall for 202.77 with BHIM   ,202.77,shopping,upi,bhim,,voice
--,22795,investment,upi,NA,,ocr_receipt
323.17 transferred to DTH recharge from Kotak via cash,323.17,utilities,cash,,kotak,ocr_upi
"Bhai, kal Blinkit pe 42.52 kharcha hua bhim pe",42.52,food,upi,bhim,,hinglish
index fund account mein 918 daale from SBI,918,investment,unknown,,sbi,hinglish
"Rahul ka birthday gift, contributed 7872 through bhim",7872,friends,upi,bhim,,english
merchant se khana mangaya 1727 ka card se payment,1727,food,card,,,voice
3082 transferred to PPF from Niyo account,3082,investment,unknown,,niyo,ocr_upi
"flatmate ne 8115.88 maanga tha, wapas kiya phonepe pe",8115.88,friends,upi,None,,hinglish
"  9611 ka course liya upGrad pe, card se payment hua  ",9611,education,card,,,hinglish
netmeds ka order 12317 upi se clear kardia,12317,healthcare,unknown,,,voice
JioMart ko 465 diya CRED se,465,food,upi,cred,,hinglish
eye clinic ka payment 22295 credit card se diya,22295,healthcare,card,,,hinglish
index fund ke liye 8569.42 ka SIP phonepe se diya,8569.42,investment,upi,phonepe,,hinglish
auto me 3392.74 ka payment ho gaya BHIM se,3392.74,travel,upi,bhim,,voice
Deducted 12149 for home loan EMI from account,12149,emi,unknown,,,english
aaj Spotify me 904 kharch kare cash se,904,entertainment,cash,,,voice
   main INOX ke liye 874 pay kiya using amazon pay  ,874,entertainment,upi,amazonpay,,voice
Mastercard se credit card EMI ke 14858.27 pay kiye,14858.27,emi,card,,,hinglish
Paid Apollo Pharmacy 15670 in cash.,15670,healthcare,cash,,,english
cafe order for 1034.98 using Amazon Pay,1034.98,food,upi,amazonpay,,english
Doctor's fee 23095 paid by debit card,1234567,healthcare,card,,,ocr_receipt
Amazon Pay se coaching ko 13587,13587,education,upi,amazonpay,,english
4443.50 paid to Neha on amazon pay.,4443.50,friends,upi,amazonpay,,ocr_upi
JioMart 1777.49 UPI BHIM,1777.49,food,upi,bhim,,ocr_receipt
concert monthly 1900 wala plan activate cash se,1900,entertainment,cash,,,voice
FD ke liye 25433 ka kharcha Phone Pe se kiya,25433,investment,upi,phonepe,,hinglish
Tata CLiQ online order 26992 paid by cash,26992,shopping,Cash,,,ocr_receipt
406.99 udhar diya Blinkit mein khane ka bill cash se,406.99,food,cash,,,voice
exam fee coaching class 38902.05 from Union Bank account,38902.05,education,unknown,,union bank,english
tuition 2344 UPI BHIM,2344,education,upi,bhim,,ocr_receipt
48774 transferred for Groww via phonepe.,48774,investment,upi,phonepe,,english
Payment of 48472 to school fees successful on debit card.,48472,education,card,,,ocr_upi
credit card EMI installment 9199 paid from Kotak,9199,emi,CARD,,kotak,ocr_upi
Recharged Apple Music for 562 on Amazon Pay,562,entertainment,upi,amazonpay,,english
diagnostic center ke liye 3744 spent from card,3744,healthcare,card,,,voice
paid home loan EMI of 30585 by debit card,30585,emi,card,,,voice
transferred 7027.94 to Groww from Federal Bank,7027.94,investment,unknown,,federal bank,voice
null,51976,education,upi,amazonpay,,hinglish
6807 invested in PPF through Fi Money,6807,investment,unknown,,fi,ocr_upi
Airtel recharge ka bill 3014 Paytm se diya,nan,utilities,upi,paytm,,hinglish
Paid 21544 for this month's car loan EMI via Amazon Pay,21544,emi,upi,amazonpay,,english
lab test ka bill 17744 paytm pe clear kiya,17744,healthcare,Upi,paytm,,hinglish
Ordered biryani from Subway 1848 paid by Mobikwik,1848,food,upi,,,english
Amazon se 2240 ka bill pay kiya gpay se,2240,shopping,upi,gpay,,hinglish
hospital payment 19086 via Google Pay,19086,healthcare,upi,gpay,,ocr_receipt
Zara shopping ke liye 13744 ka payment debit card se,13744,shopping,card,,,hinglish
"dhaba ka online order, 1634 debit hua credit card se",1634,food,card,,,hinglish
bhai ke saath Dominos mein khana khaya 1640 ka bill cash se,1640,food,cash,,,voice
5308 spent on Goibibo travel with mobikwik,5308,travel,upi,mobikwik,,ocr_upi
Dentist visit 14419 done through debit card.,14419,healthcare,card,,,english
Lab test 13288 via MobiKwik,13288,healthcare,upi,mobikwik,,ocr_receipt
"Yaar, installment ka paisa 33860.90 kat gaya Federal Bank se",33860.90,emi,Unknown,,federal bank,hinglish
7554 sent to flatmate for weekend plan expenses using cash,7554,friends,cash,,,english
"Lunch at Box8 for 694, paid by PayTM",694,food,UPI,paytm,,hinglish
Yatra par 13766.52 spend via cash from Indusind Bank,13766.52,travel,cash,,indusind,ocr_upi
Zara 26668 paid with MobiKwik from IDFC,26668,shopping,upi,mobikwik,idfc,voice
"Bhook lag rahi thi, Subway se 1102 ka order bhim se kiya",1102,food,upi,bhim,,hinglish
Recharged MedPlus app with 24715 via credit card.,24715,healthcare,card,,,english
46581 books ka payment kar diya Mastercard pe,46581,education,card,,,hinglish
"11691 udhar diya upGrad ke liye, baad me le lena",11691,education,unknown,,,hinglish
"3313.37 broadband ke liye de diye yaar, Mobikwik se",3313.37,utilities,upi,mobikwik,,hinglish
Book purchase for school fees 29390.24 cash,29390.24,education,cash,,,ocr_receipt
Pizza Hut pe 2041.68 ka bill amazon pay kiya,2041.68,food,upi,None,,hinglish
Bewakoof shopping: 18778 paid with cred,18778,shopping,upi,cred,,ocr_upi
flatmate ko de diya 6718 rent ka hissa card se,6718,friends,card,,,voice
gold mein 33407 add kiye using cred,33407,investment,upi,cred,,voice
  37901 gold mein daale via cred  ,37901,investment,upi,cred,,hinglish
main ne Rahul ko 9626 bheja on mobikwik from IDFC,9626,friends,upi,mobikwik,idfc,voice
paid 44986 for monthly Groww from account,44986,investment,unknown,,,voice
index fund ko 22242 transfer kiya Amazon Pay ke through,22242,investment,UPI,amazonpay,,hinglish
EMI installment 33957 paid from Federal Bank,33957,emi,unknown,,federal bank,ocr_upi
   PVR recharge for 2832.16 via Visa   ,2832.16,entertainment,card,,,ocr_receipt
"Ananya me 6175 udhaar diya, credit card se",6175,friends,card,,,english
"McDonald's ka online order, 1771 debit hua paytm se",1771,food,upi,paytm,,hinglish
MobiKwik se roommate ko 3441.79 transfer.,nan,friends,upi,mobikwik,,ocr_upi
Paid 14110.22 for a Myntra delivery,14110.22,shopping,unknown,,,english
2477 transferred for water bill using bhim,2477,utilities,upi,bhim,,ocr_receipt
"Arjun owes me 6963.85 for lunch, paid via GPay",6963.85,friends,upi,gpay,,english
Paid 5224 to Rahul using cred.,5224,friends,upi,cred,,ocr_upi
Payment of 3614 for sister from State Bank account via gpay.,3614,,upi,gpay,sbi,ocr_upi
"For flatmate's treat, paid 3935 by cred from",3935,friends,upi,cred,,english
11077 fees coaching fee paytm se,11077,education,upi,paytm,,voice
lab test ke liye 6714.70 advance diya Google Pay pe,6714.70,healthcare,upi,gpay,,hinglish
cash se Udemy ko 46177,46177,education,cash,,,english
RedBus for 7678.68 using cash,7678.68,travel,cash,,,voice
Subway pe 1728 ka bill Mobikwik kiya,1728,food,upi,mobikwik,,hinglish
NA,3117,utilities,UNKNOWN,,pnb,voice
physio consultation fee 7951 cred pe.,7951,healthcare,upi,cred,,english
13543.17 ki stocks ki purchase MobiKwik se,13543.17,investment,upi,mobikwik,,hinglish
stationery ki fees 35620 di Mastercard se,35620,--,card,,,hinglish
   Food expense at Zomato 2186.09 by card  ,2186.09,food,card,,,english
exam fee material 18918 through cash,18918,education,cash,,,english
lab test ke liye 24197 advance diya Paytm pe,24197,healthcare,upi,paytm,,hinglish
Swiggy UPI payment 822 from Union Bank,822,food,unknown,,union bank,ocr_upi
10576 for car loan EMI paid from Bandhan Bank,10576,emi,unknown,,bandhan,hinglish
null,37478.33,emi,card,,,voice
8936 physio pe kharch hua bhim se,8936,healthcare,upi,bhim,,hinglish
aaj exam fee ke liye 58677 spend kiya PhonePe se,58677,education,upi,,,voice
447 deducted for Netflix subscription,447,entertainment,unknown,,,english
phonepe se Arjun ko transfer 2780 for movie tickets,2780,friends,upi,phonepe,,voice
FD ke liye 25647.40 invest kiya bhai,25647.40,investment,unknown,,,hinglish
Tuition fees 32606 Punjab National Bank card,32606,travel,card,,pnb,ocr_receipt
Cleared personal loan EMI for 34689,34689,emi,unknown,,,english
SonyLIV recharge 1939.70 using cash,1939.70,entertainment,cash,,,ocr_receipt
RedBus journey cost 4912 paid by cash,4912,travel,cash,,,ocr_upi
Amazon ko 20875.83 transfer kiye Jupiter card se,20875.83,shopping,card,,jupiter,hinglish
Hotstar movie 609 mein book kardi Canara Bank account se,609,entertainment,unknown,,canara,hinglish
Priya ko 2923 bheje ke through,2923,friends,unknown,,,hinglish
Quick Flipkart purchase for 15974,15974,shopping,unknown,,,english
books subscription renewed 5353 via amazon pay,5353,education,upi,amazonpay,,english
"Ananya paid me back 7426 for the concert, got it in Punjab National Bank via bhim",7426,friends,upi,bhim,pnb,english
Zara 20432 done through Amazon Pay,20432,shopping,upi,amazonpay,,english
49442 deducted for school fees subscription on cash.,49442,education,cash,,,ocr_upi
"Ufff, Meesho ne kat liya 4898, Amazon Pay se payment",4898,shopping,upi,amazonpay,,hinglish
Ola for 6781 using CRED,6781,travel,upi,null,,voice
upGrad ke liye 59203 Google Pay se,59203,education,upi,gpay,,english
aaj petrol pump ke liye 8422 diya Indusind Bank card se,8422,travel,card,,indusind,voice
Spent 9658.81 on a quick mall order with Paytm,9658.81,shopping,upi,paytm,,english
